,allele,gene,function
0,TRBJ1-1*01,TRBJ1-1,F
1,TRBJ1-2*01,TRBJ1-2,F
2,TRBJ1-3*01,TRBJ1-3,F
3,TRBJ1-4*01,TRBJ1-4,F
4,TRBJ1-5*01,TRBJ1-5,F
5,TRBJ1-6*01,TRBJ1-6,F
6,TRBJ1-6*02,TRBJ1-6,F
7,TRBJ2-1*01,TRBJ2-1,F
8,TRBJ2-2*01,TRBJ2-2,F
9,TRBJ2-3*01,TRBJ2-3,F
10,TRBJ2-4*01,TRBJ2-4,F
11,TRBJ2-5*01,TRBJ2-5,F
12,TRBJ2-6*01,TRBJ2-6,F
13,TRBJ2-7*01,TRBJ2-7,F
14,TRBJ2-7*02,TRBJ2-7,F
