imgt_subgroup	imgt_gene_name	imgt_allele_name	fct	chromosomal_localization	rearranged	transcribed	translated	chain
TRBV20	TRBV20-1	TRBV20-1*01	F	7q34	TRUE	TRUE	TRUE	TRB
TRBV20	TRBV20-1	TRBV20-1*02	F	7q34	TRUE	TRUE		TRB
TRBV20	TRBV20-1	TRBV20-1*03	(F)	7q34	TRUE	TRUE		TRB
TRBV20	TRBV20-1	TRBV20-1*04	(F)	7q34	TRUE	TRUE		TRB
TRBV20	TRBV20-1	TRBV20-1*05	(F)	7q34	TRUE	TRUE		TRB
TRBV20	TRBV20-1	TRBV20-1*06	(F)	7q34	TRUE	TRUE		TRB
TRBV20	TRBV20-1	TRBV20-1*07	(F)	7q34	TRUE	TRUE		TRB
TRBV21	TRBV21-1	TRBV21-1*01	P	7q34	TRUE	TRUE		TRB
TRBV21	TRBV21-1	TRBV21-1*02	P	7q34	TRUE	TRUE		TRB
TRBV22	TRBV22-1	TRBV22-1*01	P	7q34	FALSE	FALSE		TRB
TRBV23	TRBV23-1	TRBV23-1*01	ORF	7q34	TRUE	TRUE		TRB
TRBV24	TRBV24-1	TRBV24-1*01	F	7q34	TRUE	TRUE		TRB
TRBV24	TRBV24-1	TRBV24-1*02	F	7q34	TRUE	TRUE		TRB
TRBV25	TRBV25-1	TRBV25-1*01	F	7q34	TRUE	TRUE	TRUE	TRB
TRBV26	TRBV26	TRBV26*01	P	7q34	FALSE	FALSE		TRB
TRBV27	TRBV27	TRBV27*01	F	7q34	TRUE	TRUE	TRUE	TRB
TRBV28	TRBV28	TRBV28*01	F	7q34	TRUE	TRUE	TRUE	TRB
TRBV29	TRBV29-1	TRBV29-1*01	F	7q34	TRUE	TRUE		TRB
TRBV29	TRBV29-1	TRBV29-1*02	(F)	7q34	TRUE	TRUE		TRB
TRBV29	TRBV29-1	TRBV29-1*03	(F)	7q34	TRUE	TRUE		TRB
TRBV30	TRBV30	TRBV30*01	F	7q34	TRUE	TRUE	TRUE	TRB
TRBV30	TRBV30	TRBV30*02	F	7q34	TRUE	TRUE	TRUE	TRB
TRBV30	TRBV30	TRBV30*03	P	7q34				TRB
TRBV30	TRBV30	TRBV30*04	(F)	7q34	TRUE	TRUE		TRB
TRBV30	TRBV30	TRBV30*05	(F)	7q34	TRUE	TRUE		TRB
TRBVA	TRBVA	TRBVA*01	P	7q34	FALSE	FALSE		TRB
TRBVA	TRBVA	TRBVA*02	P	7q34	FALSE	FALSE		TRB
TRBVB	TRBVB	TRBVB*01	P	7q34	FALSE	FALSE		TRB
TRBVB	TRBVB	TRBVB*02	P	7q34	FALSE	FALSE		TRB
TRBVC	TRBVC	TRBVC*01	P	7q34	TRUE	FALSE	FALSE	TRB
TRBVC	TRBVC	TRBVC*02	P	7q34	TRUE	FALSE	FALSE	TRB
TRBJ1	TRBJ1-1	TRBJ1-1*01	F	7q34	TRUE	TRUE	TRUE	TRB
TRBJ1	TRBJ1-2	TRBJ1-2*01	F	7q34	TRUE	TRUE	TRUE	TRB
TRBJ1	TRBJ1-3	TRBJ1-3*01	F	7q34	TRUE	TRUE	TRUE	TRB
TRBJ1	TRBJ1-4	TRBJ1-4*01	F	7q34	TRUE	TRUE	TRUE	TRB
TRBJ1	TRBJ1-5	TRBJ1-5*01	F	7q34	TRUE	TRUE	TRUE	TRB
TRBJ1	TRBJ1-6	TRBJ1-6*01	F	7q34	TRUE	TRUE	TRUE	TRB
TRBJ1	TRBJ1-6	TRBJ1-6*02	F	7q34				TRB
TRBJ2	TRBJ2-1	TRBJ2-1*01	F	7q34	TRUE	TRUE	TRUE	TRB
TRBJ2	TRBJ2-2	TRBJ2-2*01	F	7q34	TRUE	TRUE	TRUE	TRB
TRBJ2	TRBJ2-2P	TRBJ2-2P*01	ORF	7q34				TRB
TRBJ2	TRBJ2-3	TRBJ2-3*01	F	7q34	TRUE	TRUE	TRUE	TRB
TRBJ2	TRBJ2-4	TRBJ2-4*01	F	7q34	TRUE	TRUE	TRUE	TRB
TRBJ2	TRBJ2-5	TRBJ2-5*01	F	7q34	TRUE	TRUE	TRUE	TRB
TRBJ2	TRBJ2-6	TRBJ2-6*01	F	7q34	TRUE	TRUE	TRUE	TRB
TRBJ2	TRBJ2-7	TRBJ2-7*01	F	7q34	TRUE	TRUE	TRUE	TRB
TRBJ2	TRBJ2-7	TRBJ2-7*02	ORF	7q34				TRB
TRGV1	TRGV1	TRGV1*01	ORF	7p14	FALSE	FALSE	FALSE	TRG
TRGV1	TRGV2	TRGV2*01	F	7p14	TRUE	TRUE	TRUE	TRG
TRGV1	TRGV2	TRGV2*02	(F)	7p14	TRUE	TRUE	TRUE	TRG
TRGV1	TRGV2	TRGV2*03	F	7p14	TRUE	TRUE	TRUE	TRG
TRGV1	TRGV3	TRGV3*01	F	7p14	TRUE	TRUE	TRUE	TRG
TRGV1	TRGV3	TRGV3*02	F	7p14	TRUE	TRUE	TRUE	TRG
TRGV1	TRGV3P	TRGV3P*01		7p14				TRG
TRGV1	TRGV4	TRGV4*01	F	7p14	TRUE	TRUE	TRUE	TRG
TRGV1	TRGV4	TRGV4*02	F	7p14	TRUE	TRUE	TRUE	TRG
TRGV1	TRGV5	TRGV5*01	F	7p14	TRUE	TRUE	TRUE	TRG
TRGV1	TRGV5P	TRGV5P*01	P	7p14	FALSE	FALSE	FALSE	TRG
TRGV1	TRGV5P	TRGV5P*02	P	7p14				TRG
TRGV1	TRGV6	TRGV6*01	P	7p14	FALSE	FALSE	FALSE	TRG
TRGV1	TRGV6	TRGV6*02	P	7p14				TRG
TRGV1	TRGV7	TRGV7*01	P	7p14	TRUE	TRUE	FALSE	TRG
TRGV1	TRGV8	TRGV8*01	F	7p14	TRUE	TRUE	TRUE	TRG
TRGV2	TRGV9	TRGV9*01	F	7p14	TRUE	TRUE	TRUE	TRG
TRGV2	TRGV9	TRGV9*02	F	7p14	TRUE	TRUE	TRUE	TRG
TRGV3	TRGV10	TRGV10*01	ORF	7p14	TRUE	TRUE	FALSE	TRG
TRGV3	TRGV10	TRGV10*02	ORF	7p14	TRUE	TRUE	FALSE	TRG
TRGV4	TRGV11	TRGV11*01	ORF	7p14	TRUE	TRUE	FALSE	TRG
TRGV4	TRGV11	TRGV11*02	ORF	7p14				TRG
TRGVA	TRGVA	TRGVA*01	P	7p14	FALSE	FALSE	FALSE	TRG
TRGVB	TRGVB	TRGVB*01	P	7p14	FALSE	FALSE	FALSE	TRG
TRGVB	TRGVB	TRGVB*02	P	7p14				TRG
TRGJ	TRGJP1	TRGJP1*01	F	7p14	TRUE	TRUE	TRUE	TRG
TRGJ	TRGJP	TRGJP*01	F	7p14	TRUE	TRUE	TRUE	TRG
TRGJ	TRGJ1	TRGJ1*01	F	7p14	TRUE	TRUE	TRUE	TRG
TRGJ	TRGJ1	TRGJ1*02	F	7p14	TRUE	TRUE	TRUE	TRG
TRGJ	TRGJP2	TRGJP2*01	F	7p14	TRUE	TRUE	TRUE	TRG
TRGJ	TRGJ2	TRGJ2*01	F	7p14	TRUE	TRUE	TRUE	TRG
